epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4004.49,0.47713,0.28455,0.86997,0.83585,0.80132,0.88183,0.81206,0.67651,0.34223,0.96671,0.00108088,0.00108088,0.00108088
43,4079.07,0.48251,0.28325,0.87209,0.9272,0.78774,0.86299,0.79205,0.6661,0.34982,0.95952,0.00107675,0.00107675,0.00107675
44,4154.18,0.45729,0.27406,0.86179,0.93651,0.79932,0.86973,0.80819,0.67705,0.35255,0.99393,0.00107263,0.00107263,0.00107263
45,4229.08,0.44955,0.26689,0.86658,0.94799,0.78767,0.84638,0.77747,0.68039,0.36677,1.01077,0.0010685,0.0010685,0.0010685
46,4304.2,0.44129,0.26515,0.86313,0.94769,0.80747,0.8608,0.79315,0.70991,0.3595,0.9946,0.00106437,0.00106437,0.00106437
47,4379.02,0.44104,0.26904,0.85958,0.91143,0.82301,0.87774,0.81069,0.67343,0.35144,0.96788,0.00106025,0.00106025,0.00106025
48,4453.62,0.45318,0.27143,0.86344,0.9338,0.80116,0.87794,0.80397,0.67488,0.36863,0.97567,0.00105612,0.00105612,0.00105612
49,4528.63,0.44589,0.27254,0.86092,0.84989,0.81046,0.87808,0.80669,0.66762,0.35654,0.97984,0.001052,0.001052,0.001052
50,4603.24,0.44869,0.26929,0.85935,0.94712,0.7929,0.82806,0.7607,0.68883,0.34651,1.00466,0.00104787,0.00104787,0.00104787
51,4678.04,0.45499,0.27022,0.86802,0.94015,0.76782,0.86702,0.81066,0.65694,0.34222,0.9893,0.00104375,0.00104375,0.00104375
52,4752.94,0.43938,0.25933,0.85573,0.89923,0.81668,0.84948,0.79037,0.64821,0.32253,0.9679,0.00103962,0.00103962,0.00103962
53,4827.94,0.44416,0.26397,0.85432,0.90392,0.83336,0.84099,0.76901,0.6712,0.35084,0.98171,0.0010355,0.0010355,0.0010355
54,4902.77,0.43886,0.25894,0.85891,0.92922,0.73951,0.8482,0.7985,0.64846,0.34388,0.96147,0.00103138,0.00103138,0.00103138
55,4983.81,0.43034,0.25506,0.85735,0.9509,0.74255,0.82894,0.76886,0.67233,0.36006,1.0011,0.00102725,0.00102725,0.00102725
56,5058.41,0.43338,0.25539,0.8574,0.90735,0.8042,0.83494,0.77964,0.65774,0.3434,0.98353,0.00102312,0.00102312,0.00102312
57,5144.97,0.42925,0.25391,0.85629,0.95207,0.81775,0.86269,0.79276,0.68232,0.34811,0.98913,0.001019,0.001019,0.001019
58,5219.59,0.42166,0.2481,0.85439,0.88944,0.8245,0.87835,0.8115,0.67893,0.34015,1.00991,0.00101488,0.00101488,0.00101488
59,5293.79,0.41701,0.24623,0.8486,0.9273,0.77524,0.91395,0.85765,0.65379,0.33807,0.99571,0.00101075,0.00101075,0.00101075
60,5448.5,0.40691,0.24051,0.84098,0.92235,0.79659,0.88334,0.82235,0.67235,0.33437,0.97538,0.00100663,0.00100663,0.00100663
61,5552.87,0.40519,0.24433,0.84884,0.94825,0.78268,0.87007,0.80885,0.66029,0.32293,0.98387,0.0010025,0.0010025,0.0010025
62,5627.4,0.40248,0.24222,0.84857,0.83011,0.79479,0.87327,0.81891,0.67718,0.34696,1.03156,0.000998375,0.000998375,0.000998375
63,5706.68,0.40828,0.24022,0.84579,0.91231,0.78018,0.88448,0.81221,0.66579,0.33061,0.99189,0.00099425,0.00099425,0.00099425
64,5789.5,0.42081,0.2479,0.85467,0.91523,0.76411,0.82821,0.76259,0.66789,0.34851,0.97542,0.000990125,0.000990125,0.000990125
65,5863.54,0.41503,0.24334,0.85276,0.8287,0.90224,0.89858,0.84429,0.67519,0.35026,1.00046,0.000986,0.000986,0.000986
66,5963.59,0.42242,0.25007,0.85252,0.93409,0.79616,0.91142,0.85005,0.68869,0.33951,0.99515,0.000981875,0.000981875,0.000981875
67,6037.88,0.3979,0.24013,0.84514,0.82023,0.92415,0.90526,0.83933,0.66523,0.33245,0.98009,0.00097775,0.00097775,0.00097775
68,6136.78,0.40542,0.24013,0.84777,0.87788,0.81263,0.91648,0.84885,0.66938,0.33683,0.99703,0.000973625,0.000973625,0.000973625
69,6211.3,0.39922,0.23775,0.84595,0.85995,0.8249,0.86286,0.79483,0.65406,0.34435,0.98563,0.0009695,0.0009695,0.0009695
70,6285.87,0.40435,0.24097,0.84838,0.93924,0.77245,0.86383,0.79469,0.67327,0.35403,0.99608,0.000965375,0.000965375,0.000965375
71,6360.51,0.39688,0.23533,0.84537,0.93439,0.94621,0.98113,0.92511,0.68645,0.34049,1.02299,0.00096125,0.00096125,0.00096125
72,6471.68,0.39936,0.2362,0.84414,0.96012,0.94925,0.97646,0.92185,0.66605,0.31523,1.00725,0.000957125,0.000957125,0.000957125
73,6545.8,0.38309,0.22928,0.83846,0.94546,0.76704,0.90259,0.84621,0.66986,0.32757,0.98548,0.000953,0.000953,0.000953
74,6657.92,0.3824,0.22871,0.8384,0.94664,0.80899,0.84315,0.78361,0.6882,0.34474,1.00536,0.000948875,0.000948875,0.000948875
75,6741.67,0.39032,0.23133,0.84297,0.87175,0.75408,0.83595,0.79127,0.64899,0.33624,0.99341,0.00094475,0.00094475,0.00094475
76,6922.81,0.38488,0.23014,0.8426,0.96363,0.91475,0.96518,0.91376,0.65541,0.33672,1.0085,0.000940625,0.000940625,0.000940625
77,6997.38,0.37482,0.22477,0.83701,0.83866,0.77722,0.86984,0.81661,0.64651,0.32591,0.98631,0.0009365,0.0009365,0.0009365
78,7071.3,0.37495,0.22371,0.83665,0.81034,0.92073,0.92892,0.87501,0.67694,0.3314,1.00781,0.000932375,0.000932375,0.000932375
79,7145.64,0.38795,0.23204,0.83911,0.86121,0.91931,0.92574,0.88024,0.66495,0.33474,1.00272,0.00092825,0.00092825,0.00092825
80,7220.37,0.37382,0.2263,0.83457,0.97849,0.9459,0.97404,0.92204,0.68111,0.32644,1.01855,0.000924125,0.000924125,0.000924125
81,7295,0.38765,0.23248,0.84342,0.93473,0.7713,0.86269,0.80802,0.67713,0.34224,0.99663,0.00092,0.00092,0.00092
82,7369.38,0.3826,0.22967,0.84278,0.96104,0.79862,0.88202,0.822,0.66545,0.34823,0.99225,0.000915875,0.000915875,0.000915875
83,7444.01,0.38113,0.23256,0.83695,0.94847,0.78271,0.84569,0.79988,0.64362,0.32675,0.96982,0.00091175,0.00091175,0.00091175
84,7539.95,0.37458,0.22836,0.83483,0.94159,0.78262,0.83145,0.78331,0.68518,0.33619,1.0132,0.000907625,0.000907625,0.000907625
85,7635.49,0.37549,0.22738,0.83575,0.88266,0.79317,0.82396,0.77318,0.66831,0.35712,1.00466,0.0009035,0.0009035,0.0009035
86,7719.1,0.35897,0.22012,0.83124,0.95456,0.77317,0.90937,0.85069,0.65538,0.3283,1.00067,0.000899375,0.000899375,0.000899375
87,7793.46,0.35968,0.21693,0.83417,0.95338,0.77611,0.84551,0.78663,0.66382,0.33859,1.0135,0.00089525,0.00089525,0.00089525
88,7867.75,0.3633,0.22035,0.83221,0.92936,0.80462,0.8364,0.7773,0.65157,0.3316,1.01219,0.000891125,0.000891125,0.000891125
89,7942.16,0.35365,0.21461,0.83503,0.94795,0.79797,0.82723,0.77173,0.6456,0.33007,1.0048,0.000887,0.000887,0.000887
90,8017.21,0.34742,0.21099,0.82957,0.84207,0.91209,0.90923,0.85503,0.65469,0.33241,0.99995,0.000882875,0.000882875,0.000882875
